timestamp,model,provider,operation,namespace,cost_usd_cumulative
1787694300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787694600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787694900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787695200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787695500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787695800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787696100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787696400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787696700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787697000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787697300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787697600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787697900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787698200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787698500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787698800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787699100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787699400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787699700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787700000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787700300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787700600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787700900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787701200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787701500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787701800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787702100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787702400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787702700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787703000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787703300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787703600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787703900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787704200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787704500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787704800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787705100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787705400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787705700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787706000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787706300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787706600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787706900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787707200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787707500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787707800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787708100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787708400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787708700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787709000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787709300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787709600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787709900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787710200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787710500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787710800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787711100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787711400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787711700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787712000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787712300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787712600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787712900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787713200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787713500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787713800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787714100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787714400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787714700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787715000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787715300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787715600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787715900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787716200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787716500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787716800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787717100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787717400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787717700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787718000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787718300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787718600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787718900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787719200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787719500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787719800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787720100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787720400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787720700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787721000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787721300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787721600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787721900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787722200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787722500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787722800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787723100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787723400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787723700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787724000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787724300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787724600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787724900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787725200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787725500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787725800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787726100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787726400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787726700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787727000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787727300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787727600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787727900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787728200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787728500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787728800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787729100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787729400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787729700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787730000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787730300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787730600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787730900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787731200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787731500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787731800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787732100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787732400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787732700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787733000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787733300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787733600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787733900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787734200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787734500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787734800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787735100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787735400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787735700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787736000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787736300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787736600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787736900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787737200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787737500,meu-assistente,ollama,chat,suse-ai,0.0001326
